CGPA,Completed_Course_Count,Interest_Area,Recommended_Course
3.3324000000000003,4,5,Physics101
3.7816,4,0,Cs102
2.5128,2,2,Bio102
3.8608,1,5,Chem102
3.1883999999999997,1,0,Cs101
3.602,1,5,Chem101
2.7944,1,3,Physics101
2.4244,4,0,Cs102
3.8224,3,5,History102
3.8664,2,2,History101
2.9951999999999996,3,2,Cs102
2.0128,2,5,Math102
2.2196000000000002,3,0,History101
3.1460000000000004,2,0,History102
2.0476,3,5,Math101
2.7939999999999996,2,5,Chem101
2.6068000000000002,4,0,Physics102
3.4288,1,0,History102
2.1112,1,0,Chem102
2.9776,3,4,History101
3.1584,3,5,Chem102
3.2344,4,2,History101
2.8104,1,0,Math102
2.6088,2,4,Math101
3.3648000000000002,4,2,Physics102
3.6952,1,0,Bio102
3.3872000000000004,2,4,Math102
3.8644,4,2,History102
3.4344,3,3,Chem102
3.5292000000000003,1,0,History101
2.336,4,2,History102
2.8392,3,3,Bio101
2.97,3,4,Cs102
2.5124,4,2,Math101
3.0572000000000004,2,2,Bio102
2.5816000000000003,4,3,Chem101
3.3752,2,2,Cs102
2.9404000000000003,2,2,Bio102
2.9175999999999997,3,0,Chem102
3.9672,2,2,Math101
2.7848,2,5,Math101
2.7244,1,0,History102
2.6372000000000004,2,3,Cs102
3.7895999999999996,4,0,History102
2.9936000000000003,3,0,History102
3.2,2,0,Bio101
2.3616,4,5,History102
3.082,3,0,Chem102
2.5492,1,3,History101
3.4612,1,5,History101
3.6652,1,4,Chem102
3.4295999999999998,3,0,Physics102
3.4604000000000004,1,3,Chem101
3.0248000000000004,4,2,Bio102
3.4244,4,4,Math102
2.8451999999999997,2,3,Bio101
3.3027999999999995,1,3,Chem101
2.5180000000000002,1,3,Chem102
2.1396,2,0,Physics101
2.8268,4,4,Math102
2.9236,4,0,Physics102
2.5128,1,2,Cs101
3.4556,4,2,Math102
2.1471999999999998,3,5,Math101
2.4456,2,2,Chem102
3.4972000000000003,4,5,Bio101
2.8744,4,0,Cs101
3.4104,1,4,Chem101
3.1348000000000003,2,0,Bio102
3.9016,4,4,Bio102
3.1956,2,5,Cs101
2.0296000000000003,2,0,Bio102
2.7056,1,4,Bio101
2.286,2,0,Chem102
3.8492,4,0,Chem101
2.208,1,3,Bio102
2.7756,4,0,Chem102
2.452,2,0,Cs102
3.6936,1,4,Physics101
2.6172000000000004,1,3,Physics102
3.9836,3,2,Physics102
2.0772,3,4,Math101
2.2563999999999997,2,3,Physics101
2.4492,3,0,Physics101
3.6224000000000003,2,5,Math101
3.7572,2,5,Chem101
2.1428,1,2,Bio101
2.0648,4,3,Math101
3.4892000000000003,4,5,Chem101
2.2668,1,0,Math101
2.266,2,4,Math102
2.0448,1,0,Math102
2.0996,4,5,Cs102
2.5272,3,3,History101
2.13,1,3,Bio101
2.7376,3,2,Math101
3.6656,2,2,Physics101
2.6527999999999996,3,2,Math102
3.4556,3,3,History102
2.188,3,4,Chem101
3.3188,2,3,Math102
2.6336,2,5,Math102
3.4995999999999996,3,3,Chem102
2.2724,1,5,Chem101
3.7956,2,4,Physics102
2.4852000000000003,4,2,Cs101
2.7064,4,5,Bio101
3.9004000000000003,1,5,Chem101
3.1568,4,2,Cs102
2.7316000000000003,3,0,Chem102
3.8992,3,4,Bio102
2.658,2,5,Chem101
2.1896,2,0,Chem101
3.9936000000000003,2,0,History101
2.5356,3,4,Bio102
3.7024,2,2,Chem102
2.3312,3,0,Chem101
3.4627999999999997,1,3,Cs101
3.0488,4,5,Cs101
3.9619999999999997,3,3,Bio102
3.1056,4,3,History102
2.05,2,2,Chem102
3.2076,2,5,Physics102
2.2908,4,3,Chem101
3.5972000000000004,3,5,History101
3.7132,4,2,History101
2.964,1,4,Physics101
3.5664,2,4,Physics102
2.2904,2,5,History101
2.984,3,5,Bio101
2.7880000000000003,3,5,Bio101
3.2228,4,0,Cs101
2.0888,1,0,Bio102
3.5044,1,2,Physics101
2.1584,4,5,Math101
3.3127999999999997,1,0,History101
2.0368,4,2,Cs102
3.6636,4,0,Chem102
2.3491999999999997,4,4,History101
3.0307999999999997,3,0,Math102
2.5228,1,0,Bio102
3.4452,1,0,Physics102
2.6428,1,4,Math102
3.4492000000000003,1,0,History102
2.5696,3,3,History101
3.5048000000000004,1,5,Math101
2.0612,4,5,Math102
2.5668,3,2,Math102
2.9972000000000003,4,3,Physics102
2.09,2,3,Physics101
2.372,4,3,Math101
3.8692,1,2,Bio102
3.9536000000000002,2,0,Math102
3.4795999999999996,3,5,Bio101
2.5044,2,4,Chem101
2.5212,3,0,Math101
3.2916000000000003,4,0,Chem101
2.2352000000000003,4,0,History101
3.8968000000000003,4,5,Math102
2.4496,1,5,Math102
3.9992,1,2,Cs101
2.9916,3,0,Cs101
3.5427999999999997,4,5,Physics102
2.0044,3,2,Bio102
3.7776,2,0,Chem102
2.54,2,0,Chem102
3.3360000000000003,1,2,Bio102
3.6127999999999996,3,4,Physics101
2.3284000000000002,3,3,Physics102
2.8851999999999998,3,3,Chem102
2.9876,2,0,Physics102
2.6244,2,0,Math102
2.9636,4,2,Cs101
2.6351999999999998,1,2,Cs101
2.7216000000000005,3,2,Cs101
3.3388,1,2,Bio101
3.2651999999999997,3,0,Bio101
2.4644,3,2,Chem102
3.7948000000000004,1,3,Math101
3.7256,1,5,Cs102
3.0180000000000002,4,2,Bio101
2.8664,4,3,Math102
2.7536,1,5,History101
3.4144,4,4,Physics102
3.3432,3,4,Cs101
2.3924000000000003,4,3,Cs101
3.3427999999999995,3,2,Cs101
2.5048,4,3,Math102
2.0372,3,0,Cs101
3.3983999999999996,3,3,Physics101
3.2895999999999996,2,0,Physics102
2.8216,2,5,Math102
3.0512,4,0,Physics102
3.8944,2,5,Chem101
3.1904000000000003,3,2,History102
3.3156,2,3,Bio101
2.128,2,0,Bio102
2.332,1,4,Physics101
2.602,2,0,Math101
3.0787999999999998,4,3,Math101
3.5532,1,2,Cs102
2.6424000000000003,2,5,Physics101
2.7127999999999997,4,2,Physics102
2.5124,4,0,Math101
2.5092,3,5,History102
3.8975999999999997,1,3,Math101
3.2708,4,0,Cs101
2.312,3,4,Cs102
3.4444,2,4,Math102
3.444,4,3,History101
3.3327999999999998,3,0,History101
2.2696,4,2,Math101
2.8160000000000003,1,5,Physics102
2.2136,1,4,Bio102
3.6332,1,0,Physics102
3.3104,2,4,Cs101
3.0144,3,0,Math101
2.6860000000000004,2,4,Math101
2.3684,1,5,History101
2.2128,2,4,Chem101
3.9383999999999997,3,2,Math101
2.3992,3,4,Math102
2.1196,3,4,Cs102
3.9232,3,4,Cs102
3.0980000000000003,2,2,Math102
3.5932,3,0,Chem101
2.0876,2,5,Physics102
3.134,2,0,History101
2.7963999999999998,1,4,Cs102
3.5439999999999996,1,4,Bio101
2.0768,1,0,Bio101
2.8032,2,4,Physics101
3.5980000000000003,1,0,History102
3.0452,2,2,History101
3.1,2,3,Chem101
2.1944,3,0,Physics101
2.2647999999999997,2,5,Math101
3.3539999999999996,4,0,Math102
3.35,3,5,Bio102
3.9583999999999997,4,2,Bio101
3.424,2,5,Bio102
2.9863999999999997,1,2,Math101
3.7148000000000003,3,4,Bio101
2.2088,2,0,Cs101
2.8983999999999996,2,5,Chem102
2.5744,1,0,Math102
2.2092,1,0,Physics101
3.5272,4,4,History102
3.0216000000000003,4,0,Chem102
3.1136,1,0,Cs101
2.8224,1,2,Physics102
2.9208,4,4,Cs101
2.2319999999999998,3,3,Chem102
3.346,1,2,Cs102
2.8648000000000002,4,2,Bio102
3.6336,2,0,History101
2.3924000000000003,4,0,Chem101
2.41,1,0,Math101
3.2916000000000003,4,2,Physics102
3.6919999999999997,1,2,Bio102
2.9444,2,0,Bio102
3.4539999999999997,2,0,Chem101
3.9988,1,3,Cs101
3.9804000000000004,3,0,History102
3.4888,4,0,Bio102
3.4792,1,0,Math101
2.4952,1,5,Physics102
3.6672000000000002,4,0,Bio102
2.8104,2,3,Bio102
3.924,3,4,Chem101
2.1628,1,5,Math101
2.8716000000000004,1,5,Math101
3.1116,1,4,Physics102
2.8104,4,5,Physics101
2.4212000000000002,1,4,History101
3.1860000000000004,3,2,Bio101
3.512,4,2,Physics101
3.2895999999999996,2,3,Math101
2.4688,1,3,Bio102
3.4632,1,4,Bio101
2.5136000000000003,3,5,Chem102
2.3504,1,3,Math102
3.3812,2,0,Chem102
3.6856,3,5,Physics102
2.9632,3,2,Math101
3.0627999999999997,4,3,Math101
2.6056,3,3,Bio102
2.9892000000000003,4,0,History102
2.2640000000000002,3,2,History101
3.9116000000000004,3,4,History102
3.6008,3,4,Physics102
3.3360000000000003,2,4,Cs102
3.0764,3,2,Physics101
3.5844,1,0,Bio101
2.9896,3,0,History102
2.6,3,2,Physics102
2.3208,1,5,Physics101
3.2952,3,3,Physics102
3.8588,3,3,Cs102
2.3072,2,0,Bio101
2.36,2,0,History101
2.8672000000000004,3,0,History101
3.6136,4,0,Bio102
2.588,2,5,Physics102
2.508,2,0,History102
3.24,2,5,History101
3.0712,1,4,Math102
2.1204,2,5,History102
2.1628,3,0,Chem101
3.286,2,2,Cs101
2.9304,4,4,Physics102
3.9419999999999997,1,5,Physics102
3.3572,4,0,Physics102
2.02,1,0,Cs102
2.9619999999999997,3,5,Bio101
2.8287999999999998,2,0,Physics102
2.2136,3,0,History101
3.8464,4,3,History101
3.61,2,0,Cs101
2.46,1,3,Cs101
2.512,2,4,Chem102
2.064,4,4,History102
2.5936000000000003,4,4,History101
3.1692,1,0,History101
2.8416,3,0,Cs102
3.9383999999999997,2,3,History101
2.112,1,0,History101
3.1828,3,4,Chem102
3.7168,1,0,Math102
2.9616000000000002,1,4,Chem102
2.006,3,0,Math102
2.4856,3,0,Chem102
2.6475999999999997,1,5,History101
3.932,1,5,Chem102
3.8236000000000003,1,5,History101
3.8983999999999996,3,0,History101
3.6516,4,4,Cs101
2.7032,3,4,Math101
3.8116000000000003,4,2,Math102
3.9632,1,2,Chem101
2.7,3,0,History102
2.5212,4,0,History102
3.094,1,5,Chem102
2.3744,1,0,Math101
2.0652,3,0,Cs102
3.8916000000000004,1,0,Chem101
3.8516000000000004,4,0,History102
2.3252,4,0,Physics101
2.8156,4,5,Physics102
3.662,4,2,Physics101
3.322,4,2,Cs102
2.7895999999999996,4,4,Chem101
3.4884,4,0,History102
3.7939999999999996,3,4,Chem102
3.8524000000000003,3,2,Physics102
2.7576,4,4,Math102
2.3472,4,0,History102
3.8256,3,2,History102
2.1852,2,0,Bio102
3.4432,1,0,Bio101
2.2808,1,0,Cs102
2.7788,1,4,History102
2.8232,1,4,Chem101
2.3176,4,2,Math101
3.8451999999999997,3,2,Chem101
2.0052000000000003,1,0,Math102
3.7876,4,0,Math101
3.7676,3,0,History102
2.634,1,2,History102
3.4084,4,3,Bio101
2.5056,4,0,Physics102
3.5176,4,5,History102
3.1224000000000003,3,4,History101
2.6004,4,0,Math102
2.8004000000000002,1,0,Cs101
3.3796,3,2,Chem102
3.812,1,4,Physics102
2.2616,3,0,Physics101
3.1428,1,0,Math101
2.5076,3,5,Cs101
3.6028,2,4,Chem102
2.1404,3,0,History102
3.378,1,4,Bio102
2.35,3,3,Chem101
3.1927999999999996,4,3,History101
3.6712000000000002,1,0,Bio102
3.51,1,3,Bio101
3.5060000000000002,1,0,Math101
3.0356,4,5,Math101
3.7816,3,5,Math101
3.1763999999999997,2,4,Math102
3.8352,2,0,Math101
3.0932,4,5,Physics102
3.012,3,4,Chem102
2.4448,2,2,Chem101
3.0896,2,3,Bio102
2.2812,4,4,Physics102
3.7392000000000003,2,3,Physics102
3.3516000000000004,3,4,History101
3.9872,4,5,Bio101
2.184,1,4,Chem101
2.4812,1,3,History101
3.7544,3,2,Math101
2.7904,3,0,Math101
2.9328,2,5,Physics102
3.7212,2,3,Physics102
3.0436,4,5,Math101
2.3868,3,3,Cs102
3.784,2,0,Chem102
2.062,3,4,Math102
3.7908,2,3,Bio101
2.1012,2,5,Cs101
3.3316000000000003,2,2,History102
2.1431999999999998,1,3,Physics101
3.4124,2,5,Chem101
2.068,2,3,History101
3.6848,3,0,Chem101
2.932,2,0,Math101
2.1868,1,4,Cs101
3.4136,1,5,Bio102
2.9783999999999997,1,2,Physics101
2.3819999999999997,3,0,Physics102
2.0312,2,5,Physics102
2.8360000000000003,4,2,Bio101
2.1712000000000002,3,4,Bio102
2.1884,1,4,History101
2.5347999999999997,4,5,Chem102
3.2607999999999997,3,0,Bio101
3.06,3,0,History102
2.138,1,3,Bio101
3.9368,2,3,Chem102
3.7744,3,0,Cs101
2.5184,3,3,Bio102
2.2447999999999997,2,3,Chem102
3.8848000000000003,1,0,History101
2.9224,3,4,Physics101
2.6224000000000003,4,0,Physics101
2.9808,2,3,Physics101
3.5456,4,0,Bio102
2.3368,2,0,Physics102
3.5348,3,2,Cs102
3.4988,1,2,Cs101
3.0787999999999998,4,0,History102
3.7316000000000003,1,4,Bio102
2.2644,4,5,Cs101
3.1908,3,0,Bio101
2.8988,3,2,Bio102
2.8444,2,2,Cs101
2.5052000000000003,1,2,Chem102
2.7444,3,0,Math102
2.2163999999999997,3,5,Bio102
2.5032,3,0,Bio101
2.544,3,0,Bio101
3.4412000000000003,4,0,Cs101
2.0972,2,0,Bio102
3.3024,4,5,History101
2.4428,1,5,Math102
2.1636,1,0,Cs102
2.6016000000000004,3,4,History101
2.4488,2,2,Cs101
3.1039999999999996,4,3,Chem101
2.7148000000000003,2,0,Physics102
3.932,1,4,Chem102
3.9272000000000005,1,5,Math101
2.8876,4,0,History102
3.59,2,2,History102
2.0263999999999998,4,3,History101
3.0956,2,5,History102
3.4863999999999997,1,3,Math102
2.434,1,0,Physics101
2.1224000000000003,3,3,Chem101
2.312,3,0,Math101
2.8836,2,5,History102
3.0128,1,3,History102
2.7616,3,2,History101
2.88,4,0,Bio101
2.9404000000000003,3,4,Cs101
3.5388,3,3,Physics102
2.2104,4,3,Chem102
3.5380000000000003,4,4,Chem102
3.3772,1,4,Chem102
3.4832,2,0,Chem102
3.4688,4,3,Cs102
2.9412000000000003,3,5,Bio102
2.4228,1,0,Bio101
3.0732,4,4,Math101
3.9160000000000004,2,5,Cs101
3.1772000000000005,4,0,Physics102
2.022,2,0,Physics102
2.1196,1,5,History101
3.9856,4,0,Chem101
2.144,1,2,History102
2.092,1,3,Bio101
2.7060000000000004,1,0,Bio102
3.9388,4,0,History102
2.6372000000000004,2,0,Cs101
2.8196,1,3,Cs102
3.2680000000000002,2,2,Math102
2.0484,2,0,Bio101
3.7956,4,4,Physics101
3.0388,2,0,Cs101
2.9336,3,0,Math102
3.7216000000000005,3,2,Physics101
3.906,1,3,Physics102
2.8468,2,3,Cs102
2.3447999999999998,4,0,Cs101
3.6316,4,5,Chem102
2.8064,3,0,Physics102
3.8712,1,4,Math102
3.8996,2,0,Bio102
2.2296,2,5,Bio101
3.9132,4,3,Cs101
2.7363999999999997,2,3,Cs101
3.2924,1,0,Bio101
2.0696,4,0,History101
3.7776,4,0,Math101
3.2832,3,4,Physics102
3.2872000000000003,4,0,Bio101
3.8044,2,3,Cs101
3.0168,1,3,History102
2.8212,1,0,Bio102
3.7324,1,3,Bio102
3.4848000000000003,3,4,History102
3.898,3,5,Math101
3.8804000000000003,4,0,Cs101
2.7648,4,0,Chem102
2.8939999999999997,2,5,Math101
2.512,4,5,Math101
3.3212,4,4,Math102
2.7292,4,4,Math102
3.5724,3,2,Chem101
2.2432,3,2,Physics102
2.2328,3,0,Physics101
2.4088,2,5,Bio101
2.1684,4,2,Math101
3.24,1,4,Bio102
2.2948,4,0,Math102
2.32,1,2,Cs102
2.0284,3,4,Chem101
3.5639999999999996,2,4,Cs101
3.6244,3,0,Physics102
2.324,3,2,Cs101
3.4792,1,0,Chem101
2.8672000000000004,3,2,Bio102
2.4792,4,0,History101
3.2428,1,4,History102
2.3568000000000002,1,4,Physics102
3.5136000000000003,2,5,Bio101
2.0952,4,3,History102
3.9183999999999997,2,2,Cs102
2.1436,1,2,Cs101
3.1588,3,2,Bio102
3.8044,4,4,History101
2.024,2,0,Cs102
2.9972000000000003,2,4,Physics101
2.7,1,0,Cs101
3.1608,4,5,Chem101
2.4508,1,4,History101
2.1296,3,3,Bio102
3.252,2,5,Physics102
2.8336,3,3,History101
3.2448,3,3,Cs101
2.4212000000000002,4,3,Bio101
2.6776,3,4,Math102
3.1231999999999998,4,0,Cs102
3.1864,3,3,History101
